1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4
,,,spacetime,measurement,,,,,time,bit,mechanics,time,time,time,mechanics,time,phase,time,time,time,time,time,time,time,time,time,time,time,non,field,time,time,time,time,entanglement,time,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,time,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,entanglement,non,entanglement,non,entanglement,entanglement,time,entanglement,non,non,entanglement,time,entanglement,time,non,time,time,,
,,,mechanics,mechanics,,,,,kinetic,phase,physical,shown,space,wave,time,using,error,systems,mechanics,field,non,field,wave,non,phase,field,field,field,field,spin,particle,using,field,entanglement,time,entanglement,time,using,non,time,time,time,entanglement,time,spin,time,time,time,time,time,non,time,time,time,time,non,phase,using,non,spin,time,non,time,time,time,spin,non,non,non,non,time,non,time,non,time,spin,spin,non,spin,spin,non,spin,time,entanglement,spin,non,non,non,entanglement,spin,non,non,time,entanglement,time,non,non,,
,,,histories,closed,,,,,coupling,w(infty),shown,mechanics,phase,mechanics,wave,mechanics,time,space,systems,space,space,measurement,phase,measurement,shown,non,phase,equation,time,non,using,field,entanglement,using,field,spin,space,phase,using,information,using,using,using,using,time,using,using,using,using,using,time,non,phase,using,using,time,spin,time,using,non,spin,spin,using,using,non,time,time,time,spin,photon,non,spin,spin,spin,non,time,non,time,non,non,spin,time,non,time,non,time,spin,time,time,entanglement,time,spin,non,using,entanglement,photon,entanglement,,
,,,closed,measured,,,,,bose,gates,squeezing,non,wave,particle,space,systems,space,error,shown,coherent,mechanics,non,space,systems,space,shown,using,non,spin,measurement,shown,systems,using,field,using,using,field,time,information,non,phase,information,non,field,using,phase,spin,field,phase,field,spin,spin,information,spin,non,spin,using,non,phase,using,using,single,field,phase,spin,phase,using,photon,using,time,using,time,using,time,using,non,time,spin,time,time,time,entanglement,spin,spin,time,spin,entanglement,single,spin,time,using,using,using,non,spin,single,using,,
,,,alternatives,vector,,,,,{,used,local,field,order,non,non,phase,using,mechanics,non,shown,dimensional,equation,field,phase,non,space,space,space,using,time,phase,entanglement,information,information,non,field,phase,photon,time,field,non,spin,information,spin,non,field,non,qubit,information,information,single,using,spin,photon,photon,field,non,single,information,time,single,time,non,spin,phase,using,photon,single,time,using,phase,using,non,using,spin,using,using,using,using,using,using,using,photon,using,single,using,using,spin,using,using,spin,single,single,spin,single,using,single,,
,,,set,reduction,,,,,statistics,space,world,energy,mechanics,revival,field,non,evolution,shown,field,wave,field,energy,function,function,using,equation,non,energy,space,particle,field,mechanics,spin,non,systems,entangled,non,entangled,phase,spin,field,non,entangled,information,information,systems,field,spin,field,non,qubit,phase,using,qubit,single,phase,time,qubit,photon,qubit,non,qubit,spin,non,field,non,single,spin,phase,qubit,single,single,single,single,single,single,phase,single,phase,single,single,single,single,single,using,photon,single,using,single,field,single,entanglement,spin,field,using,entanglement,spin,,
,,,equations,probabilities,,,,,photons.,quantization,space,density,field,systems,energy,error,information,phase,coherent,particle,measurement,entanglement,shown,field,model,number,systems,function,wave,information,entanglement,shown,entangled,based,information,photon,systems,field,entangled,phase,entangled,phase,spin,qubit,photon,qubit,phase,phase,single,qubit,using,single,non,field,phase,using,single,photon,time,phase,photon,using,phase,qubit,photon,field,field,field,qubit,phase,systems,field,qubit,phase,phase,field,field,phase,energy,field,systems,field,using,field,photon,single,field,photon,field,single,photon,field,photon,single,photon,field,photon,,
,,,coarse,principles,,,,,past,weyl,schrodinger,relativistic,using,strong,physical,decoherence,field,coherent,using,energy,shown,using,particle,energy,wave,particle,results,entanglement,shown,wave,wave,information,non,particle,phase,single,using,information,field,systems,space,field,phase,photon,phase,spin,single,single,non,spin,field,photon,field,non,qubit,information,qubit,phase,spin,field,field,phase,model,single,using,single,qubit,using,single,single,photon,phase,photon,field,systems,optical,single,photon,single,photon,field,phase,phase,optical,field,based,based,field,model,systems,phase,phase,phase,systems,qubit,spin,phase,,
,,,probabilities,measurements,,,,,negative,"nonlinear,",representation,systems,energy,squeezed,particle,space,number,approach,space,equation,phase,shown,number,space,field,mechanics,shown,spin,phase,systems,model,coherent,phase,measurement,general,qubit,spin,energy,model,shown,photon,single,field,non,systems,entangled,model,non,qubit,single,phase,information,single,single,field,single,field,based,field,model,phase,optical,single,model,qubit,photon,phase,phase,based,spin,spin,optical,phase,optical,photon,phase,optical,field,field,phase,phase,optical,systems,phase,phase,systems,systems,based,photon,phase,field,optical,field,based,systems,information,qubit,,
,,,motion,uncertainty,,,,,measurement,invariant,probabilities,equation,shown,general,systems,model,systems,case,energy,systems,wave,photon,non,mechanics,energy,energy,coherent,using,based,using,information,non,particle,entangled,space,particle,information,based,shown,entangled,single,qubit,systems,entangled,entangled,photon,information,information,spin,model,systems,systems,model,systems,measurement,photon,photon,information,single,photon,qubit,photon,based,energy,optical,model,model,optical,field,field,field,photon,systems,photon,information,systems,qubit,systems,optical,based,optical,model,field,systems,based,field,information,optical,phase,photon,based,photon,optical,qubit,based,systems,systems,,
